text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
Which protocol is used to assign IP addresses dynamically?,FTP,DNS,DHCP,IMAP,C,multiple_choice,
What port number is used by HTTPS?,20,53,443,110,C,multiple_choice,
Which device operates at Layer 3 of the OSI model?,Switch,Router,Hub,Bridge,B,multiple_choice,
Which cable type is most immune to electromagnetic interference?,UTP,Coaxial,Fiber,STP,C,multiple_choice,
What is the purpose of NAT?,Encrypt traffic,Assign MACs,Translate IPs,Speed up DNS,C,multiple_choice,
What does the 'ping' command test?,Throughput,Latency,Connectivity,Encryption,C,multiple_choice,
Which protocol is used for secure remote login?,Telnet,HTTP,SSH,POP3,C,multiple_choice,
Which IP class provides up to 254 hosts?,Class A,Class B,Class C,Class D,C,multiple_choice,
What is the default subnet mask for a Class B network?,255.255.255.0,255.0.0.0,255.255.255.128,255.255.0.0,D,multiple_choice,
Which protocol resolves hostnames to IP addresses?,FTP,DNS,SMTP,ICMP,B,multiple_choice,
What does TTL in an IP packet represent?,Time To Launch,Transfer To LAN,Time To Live,Try To Link,C,multiple_choice,
Which protocol uses port 110?,SMTP,DHCP,POP3,Telnet,C,multiple_choice,
Which network topology connects all devices to a central point?,Bus,Mesh,Star,Ring,C,multiple_choice,
Which device regenerates and amplifies signals?,Router,Repeater,Switch,Bridge,B,multiple_choice,
Which command shows all active TCP connections?,ping,netstat,tracert,ipconfig,B,multiple_choice,
Which layer of the OSI model is responsible for encryption?,Transport,Network,Session,Presentation,D,multiple_choice,
Which connector type is used with coaxial cable?,RJ-45,SC,BNC,LC,C,multiple_choice,
Which tool checks cable continuity?,Crimper,Cable Tester,Loopback plug,Punchdown tool,B,multiple_choice,
Which command shows a device’s IP configuration?,ping,tracert,ipconfig,nslookup,C,multiple_choice,
Which device filters traffic based on IP addresses?,Repeater,Switch,Router,Firewall,D,multiple_choice,
Which of these uses a tunneling protocol?,FTP,Telnet,PPTP,DNS,C,multiple_choice,
What is the purpose of a DMZ in a network?,Disable malware zones,Host internal-only services,Isolate public-facing services,Encrypt sensitive data,C,multiple_choice,
What does IEEE 802.3 define?,Wi-Fi,Bluetooth,Token Ring,Ethernet,D,multiple_choice,
Which type of cable uses twisted pairs?,Fiber,HDMI,UTP,Coaxial,C,multiple_choice,
Which port is used for Telnet?,23,21,22,110,A,multiple_choice
What is the function of a switch in a network?,Route packets,Segment collision domains,Amplify signals,Assign IP addresses,B,multiple_choice,
Which layer of the OSI model handles reliable delivery?,Session,Transport,Network,Application,B,multiple_choice,
Which of these is a wireless security protocol?,HTTPS,WEP,FTP,IMAP,B,multiple_choice,
Which connector is commonly used with fiber optic cable?,RJ-11,DB-9,BNC,LC,D,multiple_choice,
Which port is used for FTP control?,20,21,22,80,B,multiple_choice,
What is a common use for port 3389?,SSH,RDP,DNS,Telnet,B,multiple_choice,
What is the purpose of the ARP protocol?,Encrypt traffic,Find MAC address from IP,Assign IPs,Determine hostname,B,multiple_choice,
Which type of address is 169.254.x.x?,Loopback,APIPA,Broadcast,Private IP,B,multiple_choice,
What does 802.11ac operate on?,2.4 GHz,5 GHz,Both 2.4 and 5 GHz,1.8 GHz,B,multiple_choice,
Which topology provides the most redundancy?,Bus,Star,Ring,Mesh,D,multiple_choice,
Which device uses MAC addresses for traffic forwarding?,Router,Switch,Firewall,Access Point,B,multiple_choice,
What layer does TCP operate at?,Network,Transport,Session,Application,B,multiple_choice,
Which port does DNS typically use?,23,53,80,110,B,multiple_choice,
What command resolves a domain to an IP?,ipconfig,nslookup,ping,netstat,B,multiple_choice,
Which protocol sends email?,POP3,IMAP,SMTP,HTTPS,C,multiple_choice,
What is the purpose of VLANs?,Physical segmentation,Wireless routing,Logical network separation,Backup automation,C,multiple_choice,
Which layer in the OSI model is responsible for routing?,Transport,Network,Session,Presentation,B,multiple_choice,
Which of these protocols is connection-oriented?,UDP,TCP,ICMP,ARP,B,multiple_choice,
Which tool is used to terminate twisted-pair cables?,Multimeter,Punchdown tool,Crimper,Toner probe,B,multiple_choice,
What is the maximum length of a Cat6 cable?,10 meters,25 meters,100 meters,500 meters,C,multiple_choice,
Which address type is globally routable?,APIPA,Private,Link-local,Public,D,multiple_choice,
What type of network device operates only at Layer 1?,Router,Switch,Hub,Firewall,C,multiple_choice,
Which of the following uses TCP?,DNS,TFTP,TCP/IP,HTTPS,D,multiple_choice,
Which protocol is used to retrieve email while leaving it on the server?,SMTP,IMAP,POP3,FTP,B,multiple_choice,
Which of the following provides IPsec encryption for VPNs?,PPTP,L2TP,SSTP,IPsec,D,multiple_choice
Which wireless standard supports up to 1 Gbps?,802.11a,802.11n,802.11g,802.11b,B,multiple_choice,
What is the main function of a proxy server?,Store backups,Scan for malware,Caching and filtering,Assign IPs,C,multiple_choice,
Which device connects two different networks together?,Switch,Hub,Router,Repeater,C,multiple_choice,
What type of attack captures traffic to steal data?,DoS,Phishing,Man-in-the-middle,Brute force,C,multiple_choice,
Which address type is assigned by a DHCP server?,Static,Reserved,Dynamic,Loopback,C,multiple_choice,
What command shows the path packets take to a destination?,ipconfig,netstat,ping,tracert,D,multiple_choice,
What does MTTR stand for?,Mean Time To Response,Mean Time To Repair,Maximum Time To Retry,Minimum Time To Restore,B,multiple_choice,
What protocol is used for secure email over TLS?,IMAP4,SMTP,S/MIME,POP3,C,multiple_choice,
What is the purpose of QoS in a network?,Increase speed,Limit bandwidth,Prioritize traffic,Encrypt data,C,multiple_choice,
Which of these is a layer of the TCP/IP model?,Session,Application,Transport,Data link,C,multiple_choice,
Which technology allows multiple VLANs to be carried on a single port?,Trunking,NAT,Port forwarding,Proxying,A,multiple_choice,
Which kind of cable uses an F-connector?,Ethernet,Coaxial,Fiber,Twisted Pair,B,multiple_choice,
Which device provides wireless access in a LAN?,Router,Switch,Access Point,Hub,C,multiple_choice,
Which tool is used to test phone and data jacks?,Loopback plug,Crimper,Cable tester,Tone generator,C,multiple_choice,
Which protocol uses port 69?,IMAP,DHCP,TFTP,FTP,C,multiple_choice,
Which method of network addressing provides the most flexibility?,Static,DHCP,NAT,MAC address,B,multiple_choice,
What layer of the OSI model does HTTPS operate at?,Network,Transport,Session,Application,D,multiple_choice,
Which type of media is used in multimode fiber?,LED,VCSEL,Electric pulses,Laser,A,multiple_choice,
Which attack floods a network with requests?,Phishing,DNS poisoning,DoS,Social engineering,C,multiple_choice,
Which technology provides logical separation on a switch?,VLAN,MAC filtering,QoS,NAT,A,multiple_choice,
Which connector is typically used in serial console cables?,RJ-45,LC,DB-9,SC,C,multiple_choice,
Which device is best for preventing external threats?,Router,Firewall,Switch,Bridge,B,multiple_choice,
What protocol is used for file sharing in Windows?,FTP,SMB,IMAP,SCP,B,multiple_choice,
What is the CIDR notation for a /24 subnet?,255.255.0.0,255.255.255.0,255.0.0.0,255.255.254.0,B,multiple_choice,
Which protocol supports web access without encryption?,HTTPS,FTP,HTTP,SSH,C,multiple_choice
Which OSI layer is responsible for end-to-end communication?,Session,Transport,Data Link,Network,B,multiple_choice,
Which type of IP address is 127.0.0.1?,Loopback,Private,APIPA,Multicast,A,multiple_choice,
Which service automatically assigns IP addresses to clients?,DNS,DHCP,IMAP,FTP,B,multiple_choice,
What is the purpose of a subnet mask?,Assign MAC addresses,Route traffic,Determine host/network portions,Encrypt data,C,multiple_choice,
Which cable type supports 10 Gbps over short distances?,Cat5e,Cat6,Cat3,Coaxial,B,multiple_choice,
Which command would you use to renew a DHCP lease?,nslookup,ping,ipconfig /renew,tracert,C,multiple_choice,
Which protocol is used to manage network devices remotely?,SMTP,IMAP,SNMP,TFTP,C,multiple_choice,
Which IPv6 address type is equivalent to 169.254.x.x?,Multicast,Link-local,Loopback,Global unicast,B,multiple_choice,
What does 802.1X provide?,Wireless speed,Port-based authentication,VLAN tagging,Signal strength,B,multiple_choice,
Which type of address is used in Layer 2 communication?,IP address,MAC address,Subnet,Gateway,B,multiple_choice,
Which port is used by IMAP?,25,110,143,993,C,multiple_choice,
What is the purpose of the default gateway?,Translate DNS,Route internet traffic,Assign IP addresses,Secure endpoints,B,multiple_choice,
Which of these topologies offers point-to-point communication?,Mesh,Ring,Star,Bus,A,multiple_choice,
What device would you use to test network connectivity issues?,Multimeter,Tone generator,Loopback plug,Cable tester,D,multiple_choice,
Which protocol resolves MAC addresses from IPs?,DHCP,TCP,ARP,ICMP,C,multiple_choice,
Which of the following uses a connectionless protocol?,SSH,HTTP,TCP,UDP,D,multiple_choice,
Which IEEE standard defines wireless LANs?,802.1Q,802.3,802.11,802.5,C,multiple_choice,
Which type of attack uses fake ARP messages?,Phishing,ARP spoofing,DNS hijacking,Smurf attack,B,multiple_choice,
Which cable would most likely be used for TV service?,Twisted Pair,Fiber,Coaxial,HDMI,C,multiple_choice,
What is the primary purpose of DNS?,Secure IPs,Distribute DHCP,Resolve hostnames,Encrypt names,C,multiple_choice,
Which device amplifies weak signals?,Firewall,Router,Repeater,Switch,C,multiple_choice,
Which tool helps trace wiring in walls?,Multimeter,Tone probe,Crimper,Loopback plug,B,multiple_choice,
What kind of address is 192.168.1.1?,Public,Private,Broadcast,Loopback,B,multiple_choice,
Which layer of the OSI model ensures reliable delivery?,Transport,Network,Session,Data Link,A,multiple_choice,
What is the maximum length of Ethernet over twisted pair?,50m,100m,150m,200m,B,multiple_choice
TCP provides connection-oriented communication.,True,False,,,A,true_false,
UDP is ideal for streaming because it has low overhead.,True,False,,,A,true_false,
The ping command uses the ICMP protocol.,True,False,,,A,true_false,
A MAC address can be used to route traffic across the internet.,True,False,,,B,true_false,
The default subnet mask for a Class C network is 255.255.255.0.,True,False,,,A,true_false,
The OSI model has 6 layers.,True,False,,,B,true_false,
A switch operates at the Network layer.,True,False,,,B,true_false,
NAT translates private IP addresses to public ones.,True,False,,,A,true_false,
Port 80 is used for secure HTTP traffic.,True,False,,,B,true_false,
DNS resolves domain names into IP addresses.,True,False,,,A,true_false,
A repeater can regenerate a signal.,True,False,,,A,true_false,
An IP address of 169.254.x.x is assigned via DHCP.,True,False,,,B,true_false,
IMAP allows email to remain on the server.,True,False,,,A,true_false,
The purpose of QoS is to prioritize certain types of network traffic.,True,False,,,A,true_false,
IPv6 addresses are 64 bits long.,True,False,,,B,true_false,
A firewall can block traffic based on port number.,True,False,,,A,true_false,
An access point provides connectivity to wireless clients.,True,False,,,A,true_false,
A coaxial cable is used primarily for fiber optic communication.,True,False,,,B,true_false,
Traceroute displays each hop between the source and the destination.,True,False,,,A,true_false,
802.11g operates at 5 GHz.,True,False,,,B,true_false,
TCP is faster than UDP in all scenarios.,True,False,,,B,true_false,
A broadcast domain is created by a router.,True,False,,,B,true_false,
A VLAN separates networks at Layer 3.,True,False,,,B,true_false,
An RJ-45 connector is used with fiber optic cables.,True,False,,,B,true_false,
The loopback address is used to test the local TCP/IP stack.,True,False,,,A,true_false
A switch reduces collisions on a network.,True,False,,,A,true_false,
A hub sends traffic only to the destination port.,True,False,,,B,true_false,
Port 23 is used for Telnet.,True,False,,,A,true_false,
The Transport layer of the OSI model is Layer 3.,True,False,,,B,true_false,
SNMP is used to monitor and manage network devices.,True,False,,,A,true_false,
The TTL field prevents packets from circulating forever.,True,False,,,A,true_false,
DNS uses port 25.,True,False,,,B,true_false,
The command ipconfig /all shows MAC addresses.,True,False,,,A,true_false,
ICMP is a transport layer protocol.,True,False,,,B,true_false,
Port 443 is used for HTTPS.,True,False,,,A,true_false,
Static IPs are more commonly used for servers.,True,False,,,A,true_false,
UDP provides guaranteed delivery.,True,False,,,B,true_false,
802.1Q is used for VLAN tagging.,True,False,,,A,true_false,
Ping can help identify network latency.,True,False,,,A,true_false,
